GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sm-shop,com.salesmanager.shop.store.controller.language.facade,LanguageFacadeImpl,20,3,2,0,6,1,2,1,1,1
sm-shop,com.salesmanager.shop.populator,PersistableAuditAspect,10,45,2,6,3,15,2,5,0,3
sm-shop,com.salesmanager.shop.model.shop,PageInformation,38,0,0,0,16,0,11,0,11,0
sm-shop,com.salesmanager.shop.model.shop,ContactForm,31,0,0,0,13,0,9,0,9,0
sm-shop,com.salesmanager.shop.store.api.v1.configurations,ConfigurationsApi,6,3,0,0,3,1,3,1,3,1
sm-shop,com.salesmanager.shop.store.api.v1.configurations,CacheApi,46,7,2,0,11,2,2,2,1,2
sm-shop,com.salesmanager.shop.store.security.user,CustomerDetails,48,0,0,0,16,0,10,0,10,0
sm-shop,com.salesmanager.shop.store.security.user,JWTUser,9,54,0,0,3,20,3,10,3,10
sm-shop,com.salesmanager.shop.populator.order.transaction,PersistablePaymentPopulator,73,0,2,0,19,0,6,0,5,0
sm-shop,com.salesmanager.shop.populator.order.transaction,PersistableTransactionPopulator,107,0,8,0,26,0,11,0,7,0
sm-shop,com.salesmanager.shop.populator.order.transaction,ReadableTransactionPopulator,90,0,4,0,24,0,9,0,7,0
sm-shop,com.salesmanager.shop.store.facade.tax,TaxFacadeImpl,651,191,22,6,117,39,26,7,12,7
sm-shop,com.salesmanager.shop.populator.order,ReadableOrderTotalPopulator,101,0,4,0,26,0,9,0,7,0
sm-shop,com.salesmanager.shop.populator.order,ReadableOrderSummaryPopulator,134,0,12,0,34,0,14,0,8,0
sm-shop,com.salesmanager.shop.populator.order,ReadableOrderProductPopulator,246,0,18,0,68,0,18,0,9,0
sm-shop,com.salesmanager.shop.populator.order,PersistableOrderPopulator,427,0,28,0,108,0,31,0,17,0
sm-shop,com.salesmanager.shop.populator.order,PersistableOrderProductPopulator,274,0,14,0,64,0,16,0,9,0
sm-shop,com.salesmanager.shop.populator.order,ReadableShippingSummaryPopulator,140,0,6,0,33,0,8,0,5,0
sm-shop,com.salesmanager.shop.populator.order,ReadableShopOrderPopulator,144,0,12,0,36,0,9,0,3,0
sm-shop,com.salesmanager.shop.populator.order,ReadableOrderPopulator,437,3,44,0,109,1,25,1,3,1
sm-shop,com.salesmanager.shop.populator.order,ReadableOrderProductDownloadPopulator,45,0,0,0,11,0,3,0,3,0
sm-shop,com.salesmanager.shop.populator.order,OrderProductPopulator,357,0,26,0,84,0,23,0,10,0
sm-shop,com.salesmanager.shop.populator.order,PersistableOrderApiPopulator,238,3,20,0,60,1,12,1,2,1
sm-shop,com.salesmanager.shop.populator.order,ShoppingCartItemPopulator,141,0,10,0,33,0,14,0,9,0
sm-shop,com.salesmanager.shop.store.controller.country.facade,CountryFacadeImpl,49,3,0,0,11,1,4,1,4,1
sm-shop,com.salesmanager.shop.store.facade.manufacturer,ManufacturerFacadeImpl,337,101,28,4,77,21,21,4,5,4
sm-shop,com.salesmanager.shop.store.facade.manufacturer,ManufacturerFacadeImpl.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
sm-shop,com.salesmanager.shop.mapper.customer,ReadableCustomerMapper,395,3,40,0,85,1,22,1,2,1
sm-shop,com.salesmanager.shop.populator.system,ReadableOptinPopulator,54,0,2,0,14,0,4,0,3,0
sm-shop,com.salesmanager.shop.store.controller.customer.facade,CustomerFacadeImpl,1676,159,105,15,409,39,112,9,53,8
sm-shop,com.salesmanager.shop.constants,EmailConstants,3,0,0,0,1,0,1,0,1,0
sm-shop,com.salesmanager.shop.constants,Constants,3,0,0,0,1,0,1,0,1,0
sm-shop,com.salesmanager.shop.constants,ApplicationConstants,3,0,0,0,1,0,1,0,1,0
sm-shop,com.salesmanager.shop.store.security.services,CredentialsException,9,0,0,0,4,0,2,0,2,0
sm-shop,com.salesmanager.shop.store.security.services,CredentialsServiceImpl,74,3,8,0,11,1,6,1,2,1
sm-shop,com.salesmanager.shop.store.facade.catalog,CatalogFacadeImpl,524,3,30,0,96,1,34,1,19,1
sm-shop,com.salesmanager.shop.store.api.v1.security,SecurityApi,145,7,8,0,36,2,7,2,3,2
sm-shop,com.salesmanager.shop.store.api.v1.marketplace,MarketPlaceApi,45,3,4,0,14,1,5,1,3,1
sm-shop,com.salesmanager.shop.store.model.filter,QueryFilter,24,0,0,0,10,0,7,0,7,0
sm-shop,com.salesmanager.shop.store.model.filter,QueryFilterType,9,0,0,0,2,0,1,0,1,0
sm-shop,com.salesmanager.shop.store.controller.optin,OptinFacadeImpl,6,27,0,0,2,6,0,3,0,3
